node_id,node_type,activation_year,coverage_gain_pct,drive_time_reduction_hr,best_outbound_detour_ratio
RELAY_2030_104,RELAY_HUB,2030,,,
METRO_NL_eindhoven,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_albacete,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_130,RELAY_HUB,2030,,,
RELAY_2030_14,RELAY_HUB,2030,,,
METRO_CH_zurich,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_46,RELAY_HUB,2030,,,
RELAY_2030_153,RELAY_HUB,2030,,,
METRO_DE_neukoelln,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_bonn,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_vicenza,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_palma,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_113,RELAY_HUB,2030,,,
METRO_DE_leipzig,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_sevilla,PERI_URBAN_HUB,2030,,,1.0
METRO_CZ_prague,PERI_URBAN_HUB,2030,,,1.001
METRO_IT_parma,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_hamm,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_munich,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_151,RELAY_HUB,2030,,,
RELAY_2030_103,RELAY_HUB,2030,,,
METRO_FR_toulouse,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_91,RELAY_HUB,2030,,,
METRO_IT_turin,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_95,RELAY_HUB,2030,,,
RELAY_2030_88,RELAY_HUB,2030,,,
RELAY_2030_75,RELAY_HUB,2030,,,
RELAY_2030_56,RELAY_HUB,2030,,,
METRO_ES_gasteiz_/_vitoria,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_treviso,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_160,RELAY_HUB,2030,,,
METRO_ES_castello_de_la_plana,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_murcia,PERI_URBAN_HUB,2030,,,1.008
RELAY_2030_166,RELAY_HUB,2030,,,
RELAY_2030_150,RELAY_HUB,2030,,,
METRO_GR_piraeus,PERI_URBAN_HUB,2030,,,1.002
NONMETRO_IT,DEMAND_NONMETRO,2030,,,
RELAY_2030_120,RELAY_HUB,2030,,,
METRO_IE_dublin,PERI_URBAN_HUB,2030,,,
CAND_ES_madrid,DC,2030,,,1.0
RELAY_2030_129,RELAY_HUB,2030,,,
METRO_DE_herne,PERI_URBAN_HUB,2030,,,1.0
METRO_PL_praga_poludnie,PERI_URBAN_HUB,2030,,,1.0
METRO_HR_zagreb,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_seregno,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_cordoba,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_terrassa,PERI_URBAN_HUB,2030,,,1.0
METRO_DK_arhus,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_94,RELAY_HUB,2030,,,
METRO_ES_granada,PERI_URBAN_HUB,2030,,,1.015
METRO_FR_marseille,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_reggio_calabria,PERI_URBAN_HUB,2030,,,1.024
RELAY_2030_143,RELAY_HUB,2030,,,
METRO_DE_kassel,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_hannover,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_ES,DEMAND_NONMETRO,2030,,,
RELAY_2030_86,RELAY_HUB,2030,,,
METRO_IT_pescara,PERI_URBAN_HUB,2030,,,1.0
METRO_FI_helsinki,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_100,RELAY_HUB,2030,,,
METRO_FR_reims,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_87,RELAY_HUB,2030,,,
NONMETRO_LU,DEMAND_NONMETRO,2030,,,
METRO_ES_santa_cruz_de_tenerife,PERI_URBAN_HUB,2030,,,
METRO_PL_mokotow,PERI_URBAN_HUB,2030,,,1.0
METRO_CH_bern,PERI_URBAN_HUB,2030,,,1.0
METRO_RO_galati,PERI_URBAN_HUB,2030,,,1.012
METRO_DE_bielefeld,PERI_URBAN_HUB,2030,,,1.0
METRO_NL_the_hague,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_162,RELAY_HUB,2030,,,
RELAY_2030_131,RELAY_HUB,2030,,,
METRO_RO_brasov,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_115,RELAY_HUB,2030,,,
NONMETRO_FR,DEMAND_NONMETRO,2030,,,
METRO_IE_cork,PERI_URBAN_HUB,2030,,,
RELAY_2030_16,RELAY_HUB,2030,,,
NONMETRO_RO,DEMAND_NONMETRO,2030,,,
METRO_ES_horta_guinardo,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_84,RELAY_HUB,2030,,,
METRO_RO_craiova,PERI_URBAN_HUB,2030,,,1.011
METRO_DE_dortmund,PERI_URBAN_HUB,2030,,,1.0
METRO_SK_kosice,PERI_URBAN_HUB,2030,,,1.013
RELAY_2030_6,RELAY_HUB,2030,,,
RELAY_2030_74,RELAY_HUB,2030,,,
RELAY_2030_22,RELAY_HUB,2030,,,
METRO_DE_hamburg_mitte,PERI_URBAN_HUB,2030,,,1.002
METRO_PL_szczecin,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_jerez_de_la_frontera,PERI_URBAN_HUB,2030,,,1.006
RELAY_2030_107,RELAY_HUB,2030,,,
METRO_RO_oradea,PERI_URBAN_HUB,2030,,,1.0
METRO_FI_espoo,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_155,RELAY_HUB,2030,,,
CAND_IT_rome,DC,2030,,,1.0
NONMETRO_HU,DEMAND_NONMETRO,2030,,,
RELAY_2030_72,RELAY_HUB,2030,,,
