year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2029,CAND_DE_koeln__METRO_IT_brescia,DC_HUB_VIA_RELAY,L,776.29,7.763,True,724.0,108020.75,58237.3
2029,CAND_DE_koeln__METRO_IT_como,DC_HUB_VIA_RELAY,L,709.44,7.094,True,724.0,98718.58,53222.2
2029,CAND_DE_koeln__METRO_IT_treviso,DC_HUB_VIA_RELAY,L,844.77,8.448,True,724.0,117549.75,63374.6
2029,CAND_DE_koeln__METRO_IT_modena,DC_HUB_VIA_RELAY,L,910.94,9.109,True,724.0,126757.3,68338.7
2029,CAND_DE_koeln__METRO_IT_parma,DC_HUB_VIA_RELAY,L,872.24,8.722,True,724.0,121372.2,65435.4
2029,CAND_DE_koeln__METRO_IT_vicenza,DC_HUB_VIA_RELAY,L,826.38,8.264,True,724.0,114990.78,61995.0
2029,CAND_DE_koeln__METRO_IT_lecco,DC_HUB_VIA_RELAY,L,711.24,7.112,True,724.0,98969.05,53357.2
2029,CAND_DE_koeln__METRO_IT_trieste,DC_HUB_VIA_RELAY,L,928.94,9.289,True,724.0,129262.0,69689.1
2029,CAND_DE_koeln__METRO_CH_zurich,DC_HUB_VIA_RELAY,L,495.94,4.959,True,724.0,69010.05,37205.4
2029,CAND_DE_koeln__METRO_CH_geneva,DC_HUB_VIA_RELAY,L,635.26,6.353,True,724.0,88396.43,47657.2
2029,CAND_DE_koeln__METRO_CH_basel,DC_HUB_VIA_RELAY,L,453.58,4.536,True,724.0,63115.66,34027.6
2029,CAND_DE_koeln__METRO_CH_lausanne,DC_HUB_VIA_RELAY,L,590.08,5.901,True,724.0,82109.63,44267.8
2029,CAND_DE_koeln__METRO_CH_bern,DC_HUB_VIA_RELAY,L,533.54,5.335,True,724.0,74242.09,40026.2
2029,CAND_PL_lodz__METRO_DE_berlin,DC_HUB_VIA_RELAY,L,506.39,5.064,True,427.0,41929.09,22605.2
2029,CAND_PL_lodz__METRO_DE_hamburg,DC_HUB_VIA_RELAY,L,801.57,8.016,True,427.0,66370.0,35782.1
2029,CAND_PL_lodz__METRO_DE_munich,DC_HUB_VIA_RELAY,L,832.82,8.328,True,427.0,68957.5,37177.1
2029,CAND_PL_lodz__METRO_DE_frankfurt_am_main,DC_HUB_VIA_RELAY,L,932.69,9.327,True,427.0,77226.73,41635.3
2029,CAND_PL_lodz__METRO_DE_stuttgart,DC_HUB_VIA_RELAY,L,963.25,9.632,True,427.0,79757.1,42999.5
2029,CAND_PL_lodz__METRO_DE_leipzig,DC_HUB_VIA_RELAY,L,591.82,5.918,True,427.0,49002.7,26418.8
2029,CAND_PL_lodz__METRO_DE_dresden,DC_HUB_VIA_RELAY,L,486.78,4.868,True,427.0,40305.38,21729.9
2029,CAND_PL_lodz__METRO_DE_dortmund,DC_HUB_VIA_RELAY,L,993.76,9.938,True,427.0,82283.33,44361.4
2029,CAND_PL_lodz__METRO_DE_bremen,DC_HUB_VIA_RELAY,L,884.32,8.843,True,427.0,73221.7,39476.0
2029,CAND_PL_lodz__METRO_DE_hannover,DC_HUB_VIA_RELAY,L,802.32,8.023,True,427.0,66432.1,35815.6
2029,CAND_PL_lodz__METRO_DE_nuernberg,DC_HUB_VIA_RELAY,L,774.63,7.746,True,427.0,64139.36,34579.5
2029,CAND_PL_lodz__METRO_DE_wandsbek,DC_HUB_VIA_RELAY,L,796.62,7.966,True,427.0,65960.14,35561.1
2029,CAND_PL_lodz__METRO_DE_mannheim,DC_HUB_VIA_RELAY,L,978.98,9.79,True,427.0,81059.54,43701.7
2029,CAND_PL_lodz__METRO_DE_bielefeld,DC_HUB_VIA_RELAY,L,900.57,9.006,True,427.0,74567.2,40201.4
2029,CAND_PL_lodz__METRO_DE_marienthal,DC_HUB_VIA_RELAY,L,796.07,7.961,True,427.0,65914.6,35536.6
2029,CAND_PL_lodz__METRO_DE_hamburg_nord,DC_HUB_VIA_RELAY,L,804.43,8.044,True,427.0,66606.8,35909.8
2029,CAND_PL_lodz__METRO_DE_wiesbaden,DC_HUB_VIA_RELAY,L,969.48,9.695,True,427.0,80272.94,43277.6
2029,CAND_PL_lodz__METRO_DE_muenster,DC_HUB_VIA_RELAY,L,975.49,9.755,True,427.0,80770.57,43545.9
2029,CAND_PL_lodz__METRO_DE_augsburg,DC_HUB_VIA_RELAY,L,862.36,8.624,True,427.0,71403.41,38495.8
2029,CAND_PL_lodz__METRO_DE_eimsbuettel,DC_HUB_VIA_RELAY,L,806.04,8.06,True,427.0,66740.11,35981.6
2029,CAND_PL_lodz__METRO_DE_altona,DC_HUB_VIA_RELAY,L,807.1,8.071,True,427.0,66827.88,36028.9
2029,CAND_PL_lodz__METRO_DE_chemnitz,DC_HUB_VIA_RELAY,L,559.84,5.598,True,427.0,46354.75,24991.3
2029,CAND_PL_lodz__METRO_DE_braunschweig,DC_HUB_VIA_RELAY,L,737.2,7.372,True,427.0,61040.16,32908.6
2029,CAND_PL_lodz__METRO_DE_halle_saale,DC_HUB_VIA_RELAY,L,621.72,6.217,True,427.0,51478.42,27753.6
2029,CAND_PL_lodz__METRO_DE_hamburg_mitte,DC_HUB_VIA_RELAY,L,800.67,8.007,True,427.0,66295.48,35741.9
2029,CAND_PL_lodz__METRO_DE_kiel,DC_HUB_VIA_RELAY,L,822.0,8.22,True,427.0,68061.6,36694.1
2029,CAND_PL_lodz__METRO_DE_magdeburg,DC_HUB_VIA_RELAY,L,646.61,6.466,True,427.0,53539.31,28864.7
2029,CAND_PL_lodz__METRO_DE_neue_neustadt,DC_HUB_VIA_RELAY,L,646.34,6.463,True,427.0,53516.95,28852.6
2029,CAND_PL_lodz__METRO_DE_luebeck,DC_HUB_VIA_RELAY,L,761.2,7.612,True,427.0,63027.36,33980.0
