node_id,node_type,country,cca2,city,lat,lng
METRO_CY_nicosia,metro,Cyprus,CY,Nicosia,35.1753,33.3642
METRO_CZ_prague,metro,Czech Republic,CZ,Prague,50.088,14.4208
METRO_CZ_brno,metro,Czech Republic,CZ,Brno,49.1952,16.608
METRO_CZ_ostrava,metro,Czech Republic,CZ,Ostrava,49.8346,18.282
METRO_CZ_pilsen,metro,Czech Republic,CZ,Pilsen,49.7475,13.3776
METRO_GR_athens,metro,Greece,GR,Athens,37.9795,23.7162
METRO_GR_thessaloniki,metro,Greece,GR,Thessaloniki,40.6436,22.9309
METRO_GR_patras,metro,Greece,GR,Patras,38.2444,21.7344
METRO_GR_piraeus,metro,Greece,GR,Piraeus,37.9474,23.6371
METRO_HU_budapest,metro,Hungary,HU,Budapest,47.498,19.0399
METRO_HU_debrecen,metro,Hungary,HU,Debrecen,47.5333,21.6333
METRO_HU_miskolc,metro,Hungary,HU,Miskolc,48.1,20.7833
METRO_HU_szeged,metro,Hungary,HU,Szeged,46.253,20.1482
METRO_RO_bucharest,metro,Romania,RO,Bucharest,44.4323,26.1063
METRO_RO_iasi,metro,Romania,RO,Iasi,47.1667,27.6
METRO_RO_cluj_napoca,metro,Romania,RO,Cluj-Napoca,46.7667,23.6
METRO_RO_timisoara,metro,Romania,RO,Timisoara,45.7537,21.2257
METRO_RO_craiova,metro,Romania,RO,Craiova,44.3167,23.8
METRO_RO_constanta,metro,Romania,RO,Constanta,44.1807,28.6343
METRO_RO_galati,metro,Romania,RO,Galati,45.45,28.05
METRO_RO_brasov,metro,Romania,RO,Brasov,45.6486,25.6061
METRO_RO_ploiesti,metro,Romania,RO,Ploiesti,44.95,26.0167
METRO_RO_braila,metro,Romania,RO,Braila,45.2667,27.9833
METRO_RO_oradea,metro,Romania,RO,Oradea,47.0458,21.9183
METRO_RO_bacau,metro,Romania,RO,Bacau,46.5672,26.9138
METRO_RO_arad,metro,Romania,RO,Arad,46.1833,21.3167
METRO_RO_pitesti,metro,Romania,RO,Pitesti,44.85,24.8667
METRO_MT_valletta,metro,Malta,MT,Valletta,35.8978,14.5125
METRO_SK_bratislava,metro,Slovakia,SK,Bratislava,48.1482,17.1067
METRO_SK_kosice,metro,Slovakia,SK,Kosice,48.714,21.2581
METRO_SI_ljubljana,metro,Slovenia,SI,Ljubljana,46.0511,14.5051
METRO_LU_luxembourg,metro,Luxembourg,LU,Luxembourg,49.6117,6.13
NONMETRO_AT,non_metro,Austria,AT,Non-metro,47.6941550627725,14.7881331053964
NONMETRO_BE,non_metro,Belgium,BE,Non-metro,50.4878477667654,4.90756065106913
NONMETRO_BG,non_metro,Bulgaria,BG,Non-metro,42.7076944095642,25.3486047848411
NONMETRO_CH,non_metro,Switzerland,CH,Non-metro,46.8074805999576,8.43295878752666
NONMETRO_CY,non_metro,Cyprus,CY,Non-metro,34.920996245544,32.9756113545203
NONMETRO_CZ,non_metro,Czechia,CZ,Non-metro,49.7405172490912,15.677682840635
NONMETRO_DE,non_metro,Germany,DE,Non-metro,51.0921117547106,10.0595078400433
NONMETRO_DK,non_metro,Denmark,DK,Non-metro,56.2757472952213,9.2629097241499
NONMETRO_EE,non_metro,Estonia,EE,Non-metro,58.7156074054888,25.492752819865
NONMETRO_ES,non_metro,Spain,ES,Non-metro,40.4427331571361,-3.09531497594476
NONMETRO_FI,non_metro,Finland,FI,Non-metro,64.6613420842096,27.7270798188028
NONMETRO_FR,non_metro,France,FR,Non-metro,46.7092330761337,2.46747654425205
