year,node_id,assigned_cand,t_base_hr,units,node_type,last_mile_hours,last_mile_hours_nonmetro,last_mile_hours_final,drive_time_hr,rest_time_hr,travel_elapsed_hr,otd_hours,otd_days_promise,otd_bucket,purchase_prob,reachable_units,revenue,reachable_revenue
2028,METRO_DE_munich,CAND_DE_koeln,5.471794971,723,metro,8.0,,8.0,5.471794971,0.0,5.471794971,13.471794971,0,0,1.0,723.0,327952.8,327952.8
2028,METRO_DE_koeln,CAND_DE_koeln,0.0,436,metro,12.0,,12.0,0.0,0.0,0.0,12.0,0,0,1.0,436.0,197769.6,197769.6
2028,METRO_DE_frankfurt_am_main,CAND_DE_koeln,1.831562636,306,metro,12.0,,12.0,1.831562636,0.0,1.831562636,13.831562636,0,0,1.0,306.0,138801.6,138801.6
2028,METRO_DE_duesseldorf,CAND_DE_koeln,0.4114939,291,metro,12.0,,12.0,0.4114939,0.0,0.4114939,12.4114939,0,0,1.0,291.0,131997.6,131997.6
2028,METRO_DE_stuttgart,CAND_DE_koeln,3.450423452,288,metro,12.0,,12.0,3.450423452,0.0,3.450423452,15.450423451999999,0,0,1.0,288.0,130636.8,130636.8
2028,METRO_DE_leipzig,CAND_DE_koeln,4.570199404,277,metro,12.0,,12.0,4.570199404,0.0,4.570199404,16.570199404,0,0,1.0,277.0,125647.2,125647.2
2028,METRO_DE_dresden,CAND_PL_lodz,4.867843755,270,metro,12.0,,12.0,4.867843755,0.0,4.867843755,16.867843755,0,0,1.0,270.0,122472.0,122472.0
2028,METRO_DE_dortmund,CAND_DE_koeln,0.887796304,266,metro,12.0,,12.0,0.887796304,0.0,0.887796304,12.887796304,0,0,1.0,266.0,120657.6,120657.6
2028,METRO_DE_essen,CAND_DE_koeln,0.700198958,262,metro,12.0,,12.0,0.700198958,0.0,0.700198958,12.700198958,0,0,1.0,262.0,118843.2,118843.2
2028,METRO_DE_bremen,CAND_DE_koeln,3.239641245,257,metro,12.0,,12.0,3.239641245,0.0,3.239641245,15.239641245,0,0,1.0,257.0,116575.2,116575.2
2028,METRO_DE_hannover,CAND_DE_koeln,2.997415602,243,metro,12.0,,12.0,2.997415602,0.0,2.997415602,14.997415602,0,0,1.0,243.0,110224.8,110224.8
2028,METRO_DE_duisburg,CAND_DE_koeln,0.683807755,240,metro,12.0,,12.0,0.683807755,0.0,0.683807755,12.683807755,0,0,1.0,240.0,108864.0,108864.0
2028,METRO_DE_nuernberg,CAND_DE_koeln,4.039801255,230,metro,12.0,,12.0,4.039801255,0.0,4.039801255,16.039801255,0,0,1.0,230.0,104328.0,104328.0
2028,METRO_DE_wandsbek,CAND_DE_koeln,4.36384593,187,metro,12.0,,12.0,4.36384593,0.0,4.36384593,16.36384593,0,0,1.0,187.0,84823.2,84823.2
2028,METRO_DE_bochum,CAND_DE_koeln,0.764907729,173,metro,12.0,,12.0,0.764907729,0.0,0.764907729,12.764907729,0,0,1.0,173.0,78472.8,78472.8
2028,METRO_DE_bochum_hordel,CAND_DE_koeln,0.781523689,172,metro,12.0,,12.0,0.781523689,0.0,0.781523689,12.781523689,0,0,1.0,172.0,78019.2,78019.2
2028,METRO_DE_mannheim,CAND_DE_koeln,2.321838089,158,metro,12.0,,12.0,2.321838089,0.0,2.321838089,14.321838089,0,0,1.0,158.0,71668.8,71668.8
2028,METRO_DE_wuppertal,CAND_DE_koeln,0.461875759,157,metro,12.0,,12.0,0.461875759,0.0,0.461875759,12.461875759,0,0,1.0,157.0,71215.2,71215.2
2028,METRO_DE_bielefeld,CAND_DE_koeln,1.971032114,151,metro,12.0,,12.0,1.971032114,0.0,1.971032114,13.971032114,0,0,1.0,151.0,68493.6,68493.6
2028,METRO_DE_karlsruhe,CAND_DE_koeln,2.854364445,147,metro,12.0,,12.0,2.854364445,0.0,2.854364445,14.854364445,0,0,1.0,147.0,66679.2,66679.2
2028,METRO_DE_bonn,CAND_DE_koeln,0.292352573,145,metro,12.0,,12.0,0.292352573,0.0,0.292352573,12.292352573,0,0,1.0,145.0,65772.0,65772.0
2028,METRO_DE_marienthal,CAND_DE_koeln,4.346353532,131,metro,12.0,,12.0,4.346353532,0.0,4.346353532,16.346353532000002,0,0,1.0,131.0,59421.60000000001,59421.60000000001
2028,METRO_DE_hamburg_nord,CAND_DE_koeln,4.323561785,129,metro,12.0,,12.0,4.323561785,0.0,4.323561785,16.323561785,0,0,1.0,129.0,58514.4,58514.4
2028,METRO_DE_wiesbaden,CAND_DE_koeln,1.582430804,124,metro,12.0,,12.0,1.582430804,0.0,1.582430804,13.582430804,0,0,1.0,124.0,56246.4,56246.4
2028,METRO_DE_muenster,CAND_DE_koeln,1.483675152,126,metro,12.0,,12.0,1.483675152,0.0,1.483675152,13.483675152,0,0,1.0,126.0,57153.60000000001,57153.60000000001
2028,METRO_DE_gelsenkirchen,CAND_DE_koeln,0.772741568,122,metro,12.0,,12.0,0.772741568,0.0,0.772741568,12.772741568,0,0,1.0,122.0,55339.2,55339.2
2028,METRO_DE_aachen,CAND_DE_koeln,0.759313624,122,metro,12.0,,12.0,0.759313624,0.0,0.759313624,12.759313624,0,0,1.0,122.0,55339.2,55339.2
2028,METRO_DE_moenchengladbach,CAND_DE_koeln,0.543010145,119,metro,12.0,,12.0,0.543010145,0.0,0.543010145,12.543010145,0,0,1.0,119.0,53978.4,53978.4
2028,METRO_DE_augsburg,CAND_DE_koeln,4.827768955,121,metro,12.0,,12.0,4.827768955,0.0,4.827768955,16.827768955,0,0,1.0,121.0,54885.60000000001,54885.60000000001
2028,METRO_DE_eimsbuettel,CAND_DE_koeln,4.294472213,114,metro,12.0,,12.0,4.294472213,0.0,4.294472213,16.294472213,0,0,1.0,114.0,51710.4,51710.4
2028,METRO_DE_altona,CAND_DE_koeln,4.257425944,113,metro,12.0,,12.0,4.257425944,0.0,4.257425944,16.257425944,0,0,1.0,113.0,51256.8,51256.8
2028,METRO_DE_chemnitz,CAND_DE_koeln,5.033689449,113,metro,24.0,,24.0,5.033689449,0.0,5.033689449,29.033689449,1,1,0.95,107.35,51256.8,48693.96
2028,METRO_DE_braunschweig,CAND_DE_koeln,3.456275782,112,metro,24.0,,24.0,3.456275782,0.0,3.456275782,27.456275782,1,1,0.95,106.39999999999999,50803.2,48263.03999999999
2028,METRO_DE_krefeld,CAND_DE_koeln,0.631936755,108,metro,24.0,,24.0,0.631936755,0.0,0.631936755,24.631936755,1,1,0.95,102.6,48988.8,46539.36
2028,METRO_DE_halle_saale,CAND_DE_koeln,4.266776708,107,metro,24.0,,24.0,4.266776708,0.0,4.266776708,28.266776708000002,1,1,0.95,101.64999999999999,48535.2,46108.439999999995
2028,METRO_DE_hamburg_mitte,CAND_DE_koeln,4.296737237,107,metro,24.0,,24.0,4.296737237,0.0,4.296737237,28.296737237000002,1,1,0.95,101.64999999999999,48535.2,46108.439999999995
2028,METRO_DE_kiel,CAND_DE_koeln,5.203684283,107,metro,24.0,,24.0,5.203684283,0.0,5.203684283,29.203684283,1,1,0.95,101.64999999999999,48535.2,46108.439999999995
2028,METRO_DE_magdeburg,CAND_DE_koeln,4.197424254,105,metro,24.0,,24.0,4.197424254,0.0,4.197424254,28.197424254,1,1,0.95,99.75,47628.0,45246.6
2028,METRO_DE_neue_neustadt,CAND_DE_koeln,4.211057696,102,metro,24.0,,24.0,4.211057696,0.0,4.211057696,28.211057696,1,1,0.95,96.89999999999999,46267.2,43953.84
2028,METRO_DE_oberhausen,CAND_DE_koeln,0.730618916,99,metro,24.0,,24.0,0.730618916,0.0,0.730618916,24.730618916,1,1,0.95,94.05,44906.4,42661.08
2028,METRO_DE_freiburg,CAND_DE_koeln,3.996731843,101,metro,24.0,,24.0,3.996731843,0.0,3.996731843,27.996731843,1,1,0.95,95.94999999999999,45813.60000000001,43522.92000000001
2028,METRO_DE_luebeck,CAND_DE_koeln,4.958499364,97,metro,24.0,,24.0,4.958499364,0.0,4.958499364,28.958499363999998,1,1,0.95,92.14999999999999,43999.2,41799.24
2028,METRO_DE_erfurt,CAND_DE_koeln,3.431783129,94,metro,24.0,,24.0,3.431783129,0.0,3.431783129,27.431783129,1,1,0.95,89.3,42638.4,40506.479999999996
2028,METRO_DE_harburg,CAND_DE_koeln,4.185987761,95,metro,24.0,,24.0,4.185987761,0.0,4.185987761,28.185987761,1,1,0.95,90.25,43092.0,40937.4
2028,METRO_DE_hagen,CAND_DE_koeln,0.718382205,90,metro,24.0,,24.0,0.718382205,0.0,0.718382205,24.718382205,1,1,0.95,85.5,40824.0,38782.799999999996
2028,METRO_DE_rostock,CAND_DE_koeln,5.954810005,91,metro,24.0,,24.0,5.954810005,0.0,5.954810005,29.954810005,1,1,0.95,86.45,41277.6,39213.719999999994
2028,METRO_DE_kassel,CAND_DE_koeln,2.195826406,89,metro,24.0,,24.0,2.195826406,0.0,2.195826406,26.195826406000002,1,1,0.95,84.55,40370.4,38351.88
2028,METRO_DE_hamm,CAND_DE_koeln,1.233374939,84,metro,24.0,,24.0,1.233374939,0.0,1.233374939,25.233374939,1,1,0.95,79.8,38102.4,36197.28
2028,METRO_DE_mainz,CAND_DE_koeln,1.696580886,85,metro,24.0,,24.0,1.696580886,0.0,1.696580886,25.696580886,1,1,0.95,80.75,38556.0,36628.2
2028,METRO_DE_saarbruecken,CAND_DE_koeln,2.269888253,82,metro,24.0,,24.0,2.269888253,0.0,2.269888253,26.269888253,1,1,0.95,77.89999999999999,37195.2,35335.439999999995
2028,METRO_DE_herne,CAND_DE_koeln,0.840136239,78,metro,24.0,,24.0,0.840136239,0.0,0.840136239,24.840136239,1,1,0.95,74.1,35380.8,33611.76
2028,METRO_DE_muelheim,CAND_DE_koeln,0.668295694,78,metro,24.0,,24.0,0.668295694,0.0,0.668295694,24.668295694,1,1,0.95,74.1,35380.8,33611.76
2028,METRO_DE_neukoelln,CAND_PL_lodz,5.037652759,75,metro,24.0,,24.0,5.037652759,0.0,5.037652759,29.037652759,1,1,0.95,71.25,34020.0,32319.0
2028,METRO_DE_osnabrueck,CAND_DE_koeln,2.006044873,77,metro,24.0,,24.0,2.006044873,0.0,2.006044873,26.006044873,1,1,0.95,73.14999999999999,34927.2,33180.84
2028,METRO_DE_solingen,CAND_DE_koeln,0.33965684,75,metro,24.0,,24.0,0.33965684,0.0,0.33965684,24.33965684,1,1,0.95,71.25,34020.0,32319.0
2028,METRO_NL_amsterdam,CAND_DE_koeln,2.569743992,545,metro,8.0,,8.0,2.569743992,0.0,2.569743992,10.569743992,0,0,1.0,545.0,247212.0,247212.0
2028,METRO_NL_rotterdam,CAND_DE_koeln,2.442708023,468,metro,8.0,,8.0,2.442708023,0.0,2.442708023,10.442708023,0,0,1.0,468.0,212284.8,212284.8
2028,METRO_NL_the_hague,CAND_DE_koeln,2.678731968,332,metro,12.0,,12.0,2.678731968,0.0,2.678731968,14.678731968000001,0,0,1.0,332.0,150595.2,150595.2
2028,METRO_NL_utrecht,CAND_DE_koeln,2.165347295,265,metro,12.0,,12.0,2.165347295,0.0,2.165347295,14.165347295,0,0,1.0,265.0,120204.0,120204.0
2028,METRO_NL_eindhoven,CAND_DE_koeln,1.405166603,171,metro,12.0,,12.0,1.405166603,0.0,1.405166603,13.405166603,0,0,1.0,171.0,77565.6,77565.6
2028,METRO_NL_tilburg,CAND_DE_koeln,1.760530811,91,metro,24.0,,24.0,1.760530811,0.0,1.760530811,25.760530811,1,1,0.95,86.45,41277.6,39213.719999999994
2028,METRO_NL_groningen,CAND_DE_koeln,3.066310706,83,metro,24.0,,24.0,3.066310706,0.0,3.066310706,27.066310706,1,1,0.95,78.85,37648.8,35766.36
